Row Labels,Sum of cost of living
United States,60017719.74
United Kingdom,11203671.36
Italy,9101645.07
Germany,8774138.14
Russia,8256024.27
Canada,6752503.31
Brazil,6256193.88
China,5278294.87
France,5238970.14
India,5078533.18
Spain,4878189.24
Switzerland,4147835.74
Iran,3851126.16
Turkey,3819859.24
Netherlands,3767518.71
Israel,3595469.92
Japan,3516129.46
Portugal,3257130.76
Mexico,3199869.14
Philippines,3137646.77
Australia,2779027.42
Poland,2690292.13
Belgium,2565537.36
Thailand,2493210.98
Romania,2377663.26
Czech Republic,2242952.88
Malta,2101927.11
Norway,2042224.51
South Korea,2038996.46
Finland,1873880.77
Indonesia,1805859.76
Greece,1776939.45
Malaysia,1742332.2
Ukraine,1691225.3
Sweden,1690527.08
Ireland,1646883.08
Hungary,1646330.25
Slovakia,1602621.72
Vietnam,1532938.79
South Africa,1529500.74
New Zealand,1467660.05
Algeria,1429319.51
Morocco,1377382.87
Bulgaria,1263248.56
Serbia,1258179.39
Slovenia,1218689.91
Croatia,1037378.96
Cuba,1013553.83
Pakistan,1006686.89
Argentina,1003503.04
Tunisia,992019.89
Denmark,976586.38
Taiwan,919849.73
Uruguay,913846.14
Chile,851129.32
Colombia,832660.69
North Macedonia,819018.7
Lithuania,813730.11
Austria,790080.03
Venezuela,749316
Puerto Rico,731646.58
Saudi Arabia,729958.73
Egypt,717259.3
Estonia,680507.33
Bangladesh,680179.18
Luxembourg,652179.21
Ecuador,651459.62
Nigeria,646586.88
Solomon Islands,641595.13
Latvia,639006.2
Iraq,630777.82
Kazakhstan,617158.08
Trinidad And Tobago,607962.1
Sri Lanka,596398.32
Bosnia And Herzegovina,582754.9
Belarus,581081.32
Montenegro,541933.87
Cambodia,514589.58
Jamaica,510975.87
Honduras,501786.76
Peru,471402.93
Nepal,470659.91
Liechtenstein,465387.11
Albania,464073.93
Iceland,447606.41
Syria,444246.62
Cyprus,392880.75
Jordan,390992.32
Zimbabwe,373140.59
Haiti,363318.26
United Arab Emirates,358737.88
Congo,357987.25
Dominican Republic,356066.09
Niger,353293.45
Azerbaijan,339576.16
Georgia,331792.43
Libya,325692.02
Kenya,300669.46
Lebanon,300374.29
Moldova,297235.67
Ethiopia,290393.58
Faroe Islands,290378.86
Oman,290335.26
Singapore,287566.66
Somalia,283817.22
Armenia,255925.3
Monaco,254263.41
Nicaragua,245413.95
Guatemala,242516.87
Panama,239933.59
Mozambique,199228.71
Yemen,198528.12
Bolivia,198279.24
Papua New Guinea,189297.6
Uzbekistan,177002.2
San Marino,176516.34
Turkmenistan,174742.38
Belize,173614.43
Bahrain,166798.5
Sudan,164948.06
Kosovo (Disputed Territory),159315.19
Hong Kong,152896.79
Fiji,148457.27
Qatar,147565.67
Malawi,146655.9
Tanzania,144814.09
Laos,142664.04
Senegal,142003.62
Bermuda,140841.1
Paraguay,139367.91
Kyrgyzstan,138265.55
Rwanda,137599.76
Zambia,132519.61
Bhutan,131784.91
Costa Rica,125821.72
Botswana,123932.97
Ivory Coast,122271.42
Aruba,121700.64
Brunei,116587.83
Afghanistan,116243.01
Sint Maarten,115720.52
Suriname,114681.16
Mauritius,113680.33
Cameroon,111178.19
Kuwait,108963.72
Jersey,108903.26
Bahamas,107958.15
Uganda,107322
Mali,106555.78
Gibraltar,105924.84
Madagascar,104800.11
Maldives,96030.82
Mongolia,94693.9
Gabon,94650.67
Barbados,90043.09
Tajikistan,89015.3
Swaziland,88591.13
El Salvador,87997.72
Isle Of Man,86266.68
Greenland,84239.67
Ghana,83097.72
Andorra,77986.35
New Caledonia,77368.31
British Virgin Islands,75697.55
Seychelles,75216.1
French Polynesia,73731.71
Angola,68923.74
Martinique,68786.89
Curacao,68396.55
Namibia,67728.91
Djibouti,67691.04
North Korea,67213.81
Reunion,64194.06
Equatorial Guinea,61914.04
Burundi,60810.08
Anguilla,57863.71
Liberia,57413.52
Vanuatu,56605.26
Dominica,54241.36
Guadeloupe,49725.04
South Sudan,49175.15
Saint Lucia,45387.34
Antigua And Barbuda,45134.58
Saint Helena,44456.85
Guyana,43646.68
Timor-Leste,37176.47
Marshall Islands,35658.72
Montserrat,33463.32
Chad,31567.37
Benin,29514.37
Saint Vincent And The Grenadines,29187.71
Sierra Leone,26596.5
Togo,26442.72
Lesotho,23786.24
Sao Tome And Principe,23346.25
Mauritania,22346.21
Burkina Faso,17550.8
French Guiana,14554.82
Gambia,13712.78
Guinea,13327.63
Turks And Caicos Islands,13172.17
Falkland Islands,10645.26
Myanmar,10043.81
Cook Islands,7353.5
Eritrea,7290.84
Samoa,6480.4
Guinea-Bissau,5780.69
Tuvalu,5081.24
Nauru,4451.61
Vatican City,3658.26
Cape Verde,3389.53
Tonga,1811.93
Saint Kitts And Nevis,1630.23
American Samoa,269.27
Comoros,69.38
